route_number,n_days,mean_kg,std_kg,p10,p50,p90,cv,dow_0,dow_1,dow_2,dow_3,dow_4,dow_5,dow_6
0BM00,34,5071.176470588235,3224.1106499414614,1390.0,4640.0,8710.0,0.6357717323860903,1.2056,0.9085,1.1037,1.0266,0.8914,0.7688,1.0955
DA01,70,144.57142857142858,122.02026101995882,20.0,120.0,242.00000000000003,0.8440136631815333,1.2056,0.9085,1.1037,1.0266,0.8914,0.7688,1.0955
DF1,342,9497.59649122807,3592.8140664223183,5502.0,9350.0,13870.000000000004,0.37828666123483157,1.2056,0.9085,1.1037,1.0266,0.8914,0.7688,1.0955
DF2,336,8359.651785714286,3316.224953327416,5500.0,7400.0,13200.0,0.3966941492700061,1.2056,0.9085,1.1037,1.0266,0.8914,0.7688,1.0955
DF3,343,8163.422740524781,2774.51478172027,5604.0,7160.0,12532.0,0.33987150609597266,1.2056,0.9085,1.1037,1.0266,0.8914,0.7688,1.0955
DF4,356,12600.634831460675,4853.344007196667,6920.0,11795.0,18790.0,0.3851666262940233,1.2056,0.9085,1.1037,1.0266,0.8914,0.7688,1.0955
DF5,192,7548.697916666667,2127.1175153184868,5422.0,7040.0,10588.0,0.281786016449546,1.2056,0.9085,1.1037,1.0266,0.8914,0.7688,1.0955
DH1,344,6407.5,2661.600605698865,3246.0,5810.0,10042.0,0.415388311462952,1.2056,0.9085,1.1037,1.0266,0.8914,0.7688,1.0955
DH2,292,4155.777397260274,1837.3776009736061,2180.0,3910.0,6236.000000000002,0.44212608745235266,1.2056,0.9085,1.1037,1.0266,0.8914,0.7688,1.0955
DH3,335,5545.841791044776,1738.295061375936,3740.0,5340.0,7576.000000000002,0.3134411558914053,1.2056,0.9085,1.1037,1.0266,0.8914,0.7688,1.0955
DH4,299,5300.749163879599,2627.950038207168,2192.0,5120.0,8624.0,0.4957695519936244,1.2056,0.9085,1.1037,1.0266,0.8914,0.7688,1.0955
DH5,181,5095.49723756906,1625.945118741403,3240.0,5000.0,7080.0,0.319094495185538,1.2056,0.9085,1.1037,1.0266,0.8914,0.7688,1.0955
DM1,326,5482.131901840491,2272.859224939928,3310.0,4890.0,8620.0,0.4145940421785312,1.2056,0.9085,1.1037,1.0266,0.8914,0.7688,1.0955
DM2,251,4719.880478087649,2667.0373798762876,2040.0,4160.0,8000.0,0.5650646011605975,1.2056,0.9085,1.1037,1.0266,0.8914,0.7688,1.0955
