borough,communitydistrict,n,mean_tons,std_tons,p10,p50,p90,cv,seas_01,seas_02,seas_03,seas_04,seas_05,seas_06,seas_07,seas_08,seas_09,seas_10,seas_11,seas_12
Bronx,1,137,3207.287080291971,226.24778713627154,2887.338,3241.34,3473.9559999999997,0.07054179481671949,0.9383,0.8464,0.9841,0.9841,1.0523,1.0708,1.0352,1.023,1.021,1.0277,1.0063,1.0109
Bronx,2,137,8207.234744525547,577.2956343247466,7506.888,8192.43,8820.978,0.0703398467687084,0.9383,0.8464,0.9841,0.9841,1.0523,1.0708,1.0352,1.023,1.021,1.0277,1.0063,1.0109
Bronx,3,137,2104.023868613139,192.15747306130464,1850.318,2112.81,2333.396,0.09132856139505902,0.9383,0.8464,0.9841,0.9841,1.0523,1.0708,1.0352,1.023,1.021,1.0277,1.0063,1.0109
Bronx,4,137,4160.834744525548,265.5857174277047,3844.75,4169.27,4475.328,0.06382991244176148,0.9383,0.8464,0.9841,0.9841,1.0523,1.0708,1.0352,1.023,1.021,1.0277,1.0063,1.0109
Bronx,5,137,3567.8484671532847,237.13004836602718,3303.282,3578.28,3871.836,0.06646303803233788,0.9383,0.8464,0.9841,0.9841,1.0523,1.0708,1.0352,1.023,1.021,1.0277,1.0063,1.0109
Bronx,6,137,3199.3207299270075,213.51149457153164,2934.176,3195.14,3437.48,0.06673650833888195,0.9383,0.8464,0.9841,0.9841,1.0523,1.0708,1.0352,1.023,1.021,1.0277,1.0063,1.0109
Bronx,7,137,3808.711386861314,229.11869985941422,3563.364,3811.4,4072.1820000000002,0.060156487742755047,0.9383,0.8464,0.9841,0.9841,1.0523,1.0708,1.0352,1.023,1.021,1.0277,1.0063,1.0109
Bronx,8,137,2410.1888321167885,163.27473184458194,2219.222,2426.71,2625.6639999999998,0.06774354343895253,0.9383,0.8464,0.9841,0.9841,1.0523,1.0708,1.0352,1.023,1.021,1.0277,1.0063,1.0109
Bronx,9,137,3909.596861313869,292.4819648128948,3572.59,3914.35,4247.36,0.07481128494527248,0.9383,0.8464,0.9841,0.9841,1.0523,1.0708,1.0352,1.023,1.021,1.0277,1.0063,1.0109
Bronx,10,137,2619.054525547445,276.0739004510409,2246.272,2633.94,2971.82,0.10540975674927382,0.9383,0.8464,0.9841,0.9841,1.0523,1.0708,1.0352,1.023,1.021,1.0277,1.0063,1.0109
Bronx,11,137,3163.7000000000003,280.5193018995934,2812.394,3176.09,3529.664,0.08866811072465575,0.9383,0.8464,0.9841,0.9841,1.0523,1.0708,1.0352,1.023,1.021,1.0277,1.0063,1.0109
Bronx,12,137,3901.7502189781026,434.04483086168165,3385.706,3864.87,4455.834,0.11124362311828388,0.9383,0.8464,0.9841,0.9841,1.0523,1.0708,1.0352,1.023,1.021,1.0277,1.0063,1.0109
Brooklyn,1,137,5656.60401459854,579.2427431930876,4819.888,5688.55,6269.598,0.10240114770243423,0.9383,0.8464,0.9841,0.9841,1.0523,1.0708,1.0352,1.023,1.021,1.0277,1.0063,1.0109
Brooklyn,2,137,2640.5946715328464,188.35426133958651,2439.024,2665.34,2857.244,0.07133024366448797,0.9383,0.8464,0.9841,0.9841,1.0523,1.0708,1.0352,1.023,1.021,1.0277,1.0063,1.0109
Brooklyn,3,137,4393.188394160585,337.2280667424836,4039.472,4364.3,4791.342,0.07676157644200424,0.9383,0.8464,0.9841,0.9841,1.0523,1.0708,1.0352,1.023,1.021,1.0277,1.0063,1.0109
Brooklyn,4,137,4461.347226277372,333.531874316229,4007.804,4464.16,4885.484,0.07476034870178307,0.9383,0.8464,0.9841,0.9841,1.0523,1.0708,1.0352,1.023,1.021,1.0277,1.0063,1.0109
Brooklyn,5,137,4927.574452554744,468.7671067747818,4354.792,4900.72,5461.762,0.0951314102482501,0.9383,0.8464,0.9841,0.9841,1.0523,1.0708,1.0352,1.023,1.021,1.0277,1.0063,1.0109
Brooklyn,6,137,2242.214525547445,170.92268175032177,2041.19,2231.69,2464.118,0.07622940615309338,0.9383,0.8464,0.9841,0.9841,1.0523,1.0708,1.0352,1.023,1.021,1.0277,1.0063,1.0109
Brooklyn,7,137,3394.480072992701,253.46566187406785,3111.96,3384.11,3707.706,0.07466995133973581,0.9383,0.8464,0.9841,0.9841,1.0523,1.0708,1.0352,1.023,1.021,1.0277,1.0063,1.0109
Brooklyn,8,137,5906.622335766423,435.5095031975611,5430.07,5918.51,6475.47,0.07373241057929446,0.9383,0.8464,0.9841,0.9841,1.0523,1.0708,1.0352,1.023,1.021,1.0277,1.0063,1.0109
Brooklyn,9,137,3056.1655474452555,206.87292672470855,2825.54,3066.02,3309.2760000000003,0.0676903536516993,0.9383,0.8464,0.9841,0.9841,1.0523,1.0708,1.0352,1.023,1.021,1.0277,1.0063,1.0109
Brooklyn,10,137,3698.8703649635036,286.6015591076817,3312.86,3696.81,4087.334,0.07748353708808867,0.9383,0.8464,0.9841,0.9841,1.0523,1.0708,1.0352,1.023,1.021,1.0277,1.0063,1.0109
Brooklyn,11,137,8010.676788321168,583.9473987805329,7207.59,8055.42,8691.712000000001,0.07289613776851847,0.9383,0.8464,0.9841,0.9841,1.0523,1.0708,1.0352,1.023,1.021,1.0277,1.0063,1.0109
Brooklyn,12,137,6583.373576642336,850.715144990255,5360.6140000000005,6599.62,7483.668,0.12922176374869163,0.9383,0.8464,0.9841,0.9841,1.0523,1.0708,1.0352,1.023,1.021,1.0277,1.0063,1.0109
Brooklyn,13,137,2881.7557664233577,309.12411622985064,2570.11,2823.64,3345.784,0.10726936676299768,0.9383,0.8464,0.9841,0.9841,1.0523,1.0708,1.0352,1.023,1.021,1.0277,1.0063,1.0109
Brooklyn,14,137,4867.110364963503,326.97223301431256,4368.438,4899.32,5257.914000000001,0.06717995042151965,0.9383,0.8464,0.9841,0.9841,1.0523,1.0708,1.0352,1.023,1.021,1.0277,1.0063,1.0109
Brooklyn,15,137,4645.810583941606,353.508503204508,4144.1539999999995,4681.2,5068.024,0.0760918889862668,0.9383,0.8464,0.9841,0.9841,1.0523,1.0708,1.0352,1.023,1.021,1.0277,1.0063,1.0109
Brooklyn,16,137,2995.7645255474454,235.96495882979158,2644.788,3000.01,3263.944,0.07876619033889902,0.9383,0.8464,0.9841,0.9841,1.0523,1.0708,1.0352,1.023,1.021,1.0277,1.0063,1.0109
Brooklyn,17,137,4541.030218978102,443.29582838376876,3883.57,4555.89,5025.056,0.09762010094782556,0.9383,0.8464,0.9841,0.9841,1.0523,1.0708,1.0352,1.023,1.021,1.0277,1.0063,1.0109
Brooklyn,18,137,5546.071167883211,615.0536035726836,4659.907999999999,5585.81,6266.030000000001,0.11089897423862906,0.9383,0.8464,0.9841,0.9841,1.0523,1.0708,1.0352,1.023,1.021,1.0277,1.0063,1.0109
Manhattan,1,137,1517.1874452554744,112.86068438976118,1372.77,1529.16,1647.004,0.07438809538181812,0.9383,0.8464,0.9841,0.9841,1.0523,1.0708,1.0352,1.023,1.021,1.0277,1.0063,1.0109
Manhattan,2,137,2207.9623357664236,184.6197511789745,2004.74,2213.25,2426.498,0.08361544406276733,0.9383,0.8464,0.9841,0.9841,1.0523,1.0708,1.0352,1.023,1.021,1.0277,1.0063,1.0109
Manhattan,3,137,6087.416131386862,392.5633204454908,5558.372,6099.03,6530.676,0.06448767621149226,0.9383,0.8464,0.9841,0.9841,1.0523,1.0708,1.0352,1.023,1.021,1.0277,1.0063,1.0109
Manhattan,4,137,3288.856715328467,196.45559912263028,3042.13,3326.82,3488.8959999999997,0.05973370569991819,0.9383,0.8464,0.9841,0.9841,1.0523,1.0708,1.0352,1.023,1.021,1.0277,1.0063,1.0109
Manhattan,5,137,1676.8575912408758,183.6850206856897,1443.048,1695.0,1893.036,0.10954121664545327,0.9383,0.8464,0.9841,0.9841,1.0523,1.0708,1.0352,1.023,1.021,1.0277,1.0063,1.0109
Manhattan,6,137,3232.2464963503653,196.3613939106068,2992.51,3253.03,3446.018,0.060750748475502984,0.9383,0.8464,0.9841,0.9841,1.0523,1.0708,1.0352,1.023,1.021,1.0277,1.0063,1.0109
Manhattan,7,137,4798.99094890511,422.0001155071696,4310.9039999999995,4745.96,5354.448,0.08793517637357681,0.9383,0.8464,0.9841,0.9841,1.0523,1.0708,1.0352,1.023,1.021,1.0277,1.0063,1.0109
Manhattan,8,137,5533.26204379562,453.9302642220213,4936.128,5508.2,6162.78,0.08203664685120196,0.9383,0.8464,0.9841,0.9841,1.0523,1.0708,1.0352,1.023,1.021,1.0277,1.0063,1.0109
