instance,method,seed,n_vehicles,E_cost,E_fuel,E_emission,E_recourse,CVaR_cost,worst_cost,P_late,E_late_min,P_overload,E_overload_m3,missed_nodes,infeas_speed_arcs,tau_mean,tau_std,secs
nyc_manhattan,D-HGLS,1,8,47.16670928986877,38.65558202772016,91.22717358541958,8.511127262148614,50.958234024262005,51.75966533492187,0.0,0.0,0.05,0.0180636310743069,0.0,16.95,,,2.1
nyc_manhattan,PTO-HGLS,1,8,47.16670928986877,38.65558202772016,91.22717358541958,8.511127262148614,50.958234024262005,51.75966533492187,0.0,0.0,0.05,0.0180636310743069,0.0,16.95,,,2.1
nyc_manhattan,Q-HGLS,1,9,48.50107766584894,40.77607766584894,96.2315432914035,7.725,52.66515387932889,53.46382282588455,0.0,0.0,0.0,0.0,0.0,15.45,,,2.2
nyc_manhattan,RO-Eco,1,16,58.19443507697324,46.39443507697324,109.49086678165683,11.8,61.82508045609509,62.91034964632397,0.0,0.0,0.0,0.0,0.0,23.6,,,2.3
nyc_manhattan,S-HGLS,1,8,44.52870730083264,35.266524914963064,83.22899879931283,9.262182385869584,49.54949260271913,51.455863487296696,0.0,0.0,0.25,0.2435911929347908,0.0,17.55,,,2.0
nyc_manhattan,LA-SHGLS,1,7,42.61450323566076,34.192592094982764,80.69451734415931,8.421911140677995,46.97246995370583,47.76749672210957,0.0,0.0,0.15,0.0734555703389982,0.0,16.55,,,2.0
nyc_manhattan,D-HGLS,2,7,49.38494252265679,40.3855023404689,95.30978552350662,8.99944018218789,53.75019158310828,54.33565627314565,0.0,0.0,0.6,0.537220091093945,0.0,15.85,,,2.0
nyc_manhattan,PTO-HGLS,2,7,49.38494252265679,40.3855023404689,95.30978552350662,8.99944018218789,53.75019158310828,54.33565627314565,0.0,0.0,0.6,0.537220091093945,0.0,15.85,,,2.0
nyc_manhattan,Q-HGLS,2,9,50.98856294215399,41.138562942154,97.08700854348344,9.85,53.43021105837415,53.7406203072841,0.0,0.0,0.0,0.0,0.0,19.7,,,2.1
nyc_manhattan,RO-Eco,2,14,57.878979263310825,48.95397926331082,115.5313910614135,8.925,61.216686017762015,61.49169215445611,0.0,0.0,0.0,0.0,0.0,17.85,,,2.2
nyc_manhattan,S-HGLS,2,7,47.90214780674837,38.56337980184074,91.0095763323441,9.338768004907635,52.85001126400519,53.28962899626031,0.0,0.0,0.35,0.2693840024538176,0.0,17.6,,,1.9
nyc_manhattan,LA-SHGLS,2,7,47.89033375258413,37.074246976515695,87.49522286457703,10.816086776068438,51.0443812074259,51.0958410196027,0.0,0.0,0.55,0.6205433880342197,0.0,19.15,,,1.9
nyc_manhattan,D-HGLS,3,8,46.56914689137794,36.968372938978895,87.24536013599018,9.600773952399049,48.72830309101624,49.05959114528556,0.0,0.0,0.05,0.0128869761995242,0.0,19.15,,,2.0
nyc_manhattan,PTO-HGLS,3,8,46.56914689137794,36.968372938978895,87.24536013599018,9.600773952399049,48.72830309101624,49.05959114528556,0.0,0.0,0.05,0.0128869761995242,0.0,19.15,,,2.0
nyc_manhattan,Q-HGLS,3,10,53.453604107698894,42.90360410769889,101.2525056941694,10.55,56.47189019188883,57.22193220730449,0.0,0.0,0.0,0.0,0.0,21.1,,,2.0
nyc_manhattan,RO-Eco,3,12,60.01066293157661,48.71066293157661,114.9571645185208,11.3,63.314903403123125,64.09361517306408,0.0,0.0,0.0,0.0,0.0,22.6,,,2.1
nyc_manhattan,S-HGLS,3,7,48.988055967500806,37.92141699517791,89.49454410861988,11.066638972322892,52.34156954803424,52.96341230538687,0.0,0.0,0.3,0.1708194861614463,0.0,21.45,,,1.8
nyc_manhattan,LA-SHGLS,3,7,46.15692638685017,35.546884673151816,83.89064782863828,10.610041713698347,49.66562916002587,50.541866514774185,0.0,0.0,0.1,0.0425208568491744,0.0,21.05,,,1.8
nyc_queens,D-HGLS,1,4,46.19934088417872,40.853458388021394,96.4141617957305,5.345882496157323,54.6391002568848,54.77300116927401,0.0,0.0,0.65,0.835441248078661,0.0,7.35,,,1.0
nyc_queens,PTO-HGLS,1,4,46.19934088417872,40.853458388021394,96.4141617957305,5.345882496157323,54.6391002568848,54.77300116927401,0.0,0.0,0.65,0.835441248078661,0.0,7.35,,,1.0
nyc_queens,Q-HGLS,1,5,49.09376849315297,45.024921521802256,106.2588147914533,4.068846971350713,52.80638777376198,53.59151452414751,0.0,0.0,0.05,0.0219234856753566,0.0,8.05,,,1.1
nyc_queens,RO-Eco,1,6,51.1159397486952,46.34093974869519,109.36461780692063,4.775,54.79498458828114,55.75429516022993,0.0,0.0,0.0,0.0,0.0,9.55,,,1.1
nyc_queens,S-HGLS,1,4,44.73617647777916,40.362295169815845,95.25501660076536,4.373881307963323,49.647090626839486,49.985393992883154,0.0,0.0,0.1,0.0369406539816616,0.0,8.6,,,1.0
nyc_queens,LA-SHGLS,1,4,46.53253391808609,41.9546612101518,99.01300045595822,4.577872707934297,50.98795643837274,51.39662994174517,0.0,0.0,0.15,0.1389363539671484,0.0,8.6,,,1.0
nyc_queens,D-HGLS,2,4,43.900088996743285,40.26492146356525,95.025214654014,3.6351675331780298,49.45530566396579,49.78446528210717,0.0,0.0,0.25,0.0550837665890148,0.0,7.05,,,1.1
nyc_queens,PTO-HGLS,2,4,43.900088996743285,40.26492146356525,95.025214654014,3.6351675331780298,49.45530566396579,49.78446528210717,0.0,0.0,0.25,0.0550837665890148,0.0,7.05,,,1.1
nyc_queens,Q-HGLS,2,4,43.25935327058958,39.90935327058958,94.18607371859142,3.35,48.16343338996211,48.90648025998413,0.0,0.0,0.0,0.0,0.0,6.7,,,1.1
nyc_queens,RO-Eco,2,6,55.68818868453379,51.28818868453379,121.04012529549976,4.4,60.47107764187725,60.54081495469272,0.0,0.0,0.0,0.0,0.0,8.8,,,1.1
nyc_queens,S-HGLS,2,4,44.770081331565535,40.83353167339926,96.36713474922225,3.936549658166287,50.679923453065165,52.26841416848886,0.0,0.0,0.35,0.3307748290831434,0.0,6.55,,,1.0
nyc_queens,LA-SHGLS,2,4,43.36718773322544,40.6339627934167,95.89615219246345,2.733224939808744,48.68402948399546,50.31504790936692,0.0,0.0,0.1,0.041612469904372,0.0,5.3,,,1.0
nyc_queens,D-HGLS,3,4,46.1852890605433,41.24910058639403,97.34787738388992,4.936188474149278,50.85917974748484,52.40199239121169,0.0,0.0,0.3,0.3430942370746387,0.0,8.5,,,1.1
nyc_queens,PTO-HGLS,3,4,46.1852890605433,41.24910058639403,97.34787738388992,4.936188474149278,50.85917974748484,52.40199239121169,0.0,0.0,0.3,0.3430942370746387,0.0,8.5,,,1.1
nyc_queens,Q-HGLS,3,5,45.704148533413935,42.12914853341393,99.42479053885688,3.575,49.144843919323975,49.23600011840499,0.0,0.0,0.0,0.0,0.0,7.15,,,1.1
nyc_queens,RO-Eco,3,7,49.91819991700644,46.89319991700644,110.6679518041352,3.025,53.51825829001966,54.01343853683618,0.0,0.0,0.0,0.0,0.0,6.05,,,1.1
nyc_queens,S-HGLS,3,4,42.5835670516919,39.57034450656809,93.3860130355007,3.013222545123809,46.21806494878616,47.14634553193004,0.0,0.0,0.2,0.1691112725619047,0.0,5.35,,,1.0
nyc_queens,LA-SHGLS,3,4,44.0190381933822,41.11220350365822,97.0248002686334,2.9068346897239827,48.07307155525292,49.03524669159541,0.0,0.0,0.05,0.0159173448619914,0.0,5.75,,,1.0
nyc_brooklyn,D-HGLS,1,5,31.85953185884224,28.605806793487737,67.50970403263105,3.253725065354496,39.81204638136516,44.8555382474953,0.0,0.0,0.4,0.7143625326772477,0.0,3.65,,,1.1
nyc_brooklyn,PTO-HGLS,1,5,31.85953185884224,28.605806793487737,67.50970403263105,3.253725065354496,39.81204638136516,44.8555382474953,0.0,0.0,0.4,0.7143625326772477,0.0,3.65,,,1.1
