instance,c_over,c_late,seed,method,E_cost,CVaR_cost,P_overload,n_vehicles,secs
nyc_manhattan,1.0,0.05,1,S-HGLS,46.75372647624995,49.987659510635,0.8,7,2.4
nyc_manhattan,1.0,0.05,1,LA-SHGLS,42.640223856064594,45.381734339798854,0.25,7,2.2
nyc_manhattan,1.0,0.05,1,DF-CC*,42.640223856064594,45.381734339798854,0.25,7,138.5
nyc_manhattan,1.0,0.05,2,S-HGLS,47.009949407291806,50.86582708783906,0.95,7,2.3
nyc_manhattan,1.0,0.05,2,LA-SHGLS,44.87753357322032,48.44182115720388,0.4,7,2.3
nyc_manhattan,1.0,0.05,2,DF-CC*,42.89099375296891,46.79207478529288,0.3,7,136.4
nyc_manhattan,2.0,0.05,1,S-HGLS,44.52870730083264,49.54949260271913,0.25,8,2.4
nyc_manhattan,2.0,0.05,1,LA-SHGLS,42.61450323566076,46.972469953705826,0.15,7,2.4
nyc_manhattan,2.0,0.05,1,DF-CC*,42.61450323566076,46.972469953705826,0.15,7,140.9
nyc_manhattan,2.0,0.05,2,S-HGLS,47.90214780674837,52.85001126400519,0.35,7,2.5
nyc_manhattan,2.0,0.05,2,LA-SHGLS,47.89033375258413,51.0443812074259,0.55,7,2.6
nyc_manhattan,2.0,0.05,2,DF-CC*,45.97151601430732,50.38871562747884,0.15,8,142.4
nyc_manhattan,4.0,0.05,1,S-HGLS,45.597646830020736,48.88942847884044,0.1,7,2.6
nyc_manhattan,4.0,0.05,1,LA-SHGLS,43.42863736880648,49.477731146504354,0.3,8,2.4
nyc_manhattan,4.0,0.05,1,DF-CC*,41.79489900047406,46.381362174206856,0.15,7,140.7
nyc_manhattan,4.0,0.05,2,S-HGLS,48.77165157929527,53.2531148728675,0.3,7,2.3
nyc_manhattan,4.0,0.05,2,LA-SHGLS,44.63348294342885,47.76616610227451,0.3,7,2.4
nyc_manhattan,4.0,0.05,2,DF-CC*,44.63348294342885,47.76616610227451,0.3,7,135.0
nyc_manhattan,2.0,0.025,1,S-HGLS,44.52870730083264,49.54949260271913,0.25,8,2.5
nyc_manhattan,2.0,0.025,1,LA-SHGLS,42.61450323566076,46.972469953705826,0.15,7,2.3
nyc_manhattan,2.0,0.025,1,DF-CC*,42.61450323566076,46.972469953705826,0.15,7,139.9
nyc_manhattan,2.0,0.025,2,S-HGLS,47.90214780674837,52.85001126400519,0.35,7,3.1
nyc_manhattan,2.0,0.025,2,LA-SHGLS,47.89033375258413,51.0443812074259,0.55,7,2.9
nyc_manhattan,2.0,0.025,2,DF-CC*,45.97151601430732,50.38871562747884,0.15,8,121.8
nyc_manhattan,2.0,0.1,1,S-HGLS,44.52870730083264,49.54949260271913,0.25,8,2.1
nyc_manhattan,2.0,0.1,1,LA-SHGLS,42.61450323566076,46.972469953705826,0.15,7,2.0
nyc_manhattan,2.0,0.1,1,DF-CC*,42.61450323566076,46.972469953705826,0.15,7,111.2
nyc_manhattan,2.0,0.1,2,S-HGLS,47.90214780674837,52.85001126400519,0.35,7,1.9
nyc_manhattan,2.0,0.1,2,LA-SHGLS,47.89033375258413,51.0443812074259,0.55,7,1.9
nyc_manhattan,2.0,0.1,2,DF-CC*,45.97151601430732,50.38871562747884,0.15,8,110.2
peshawar_real,1.0,0.05,1,S-HGLS,89.76362759436662,96.20725259329683,0.8,18,3.5
peshawar_real,1.0,0.05,1,LA-SHGLS,92.34372896964597,100.51636524584194,0.8,18,3.5
