family,rep,step,E_cost,E_fuel,E_emission,E_recourse,CVaR_cost,P_trigger,E_returns,E_return_km,P_late,E_late_min,P_defer,n_veh,secs
nyc_manhattan,1,L0_det,48.02145,36.48145,86.09621,11.54,61.23921,0.665,1.4,7.93303,0.0,0.0,0.0,6.0,20.1
nyc_manhattan,1,L1_scen_blind,46.62058,28.99058,68.41778,17.63,57.90268,0.3,0.51,3.76168,0.0,0.0,0.0,7.0,20.1
nyc_manhattan,1,L2_recourse,42.44941,31.91191,75.31211,10.5375,52.72663,0.345,0.54,3.29139,0.0,0.0,0.0,7.0,20.1
nyc_manhattan,1,L3_dependence,43.87036,32.97036,77.81006,10.9,52.80924,0.315,0.39,3.16512,0.0,0.0,0.0,8.0,20.1
nyc_manhattan,1,L4_conformal,41.35376,31.96126,75.42857,9.3925,49.58161,0.035,0.04,0.265,0.0,0.0,0.0,9.0,30.1
nyc_manhattan,1,L5_dro,40.86717,31.42967,74.17403,9.4375,49.21886,0.02,0.025,0.15512,0.0,0.0,0.0,9.0,30.1
nyc_manhattan,1,L6_policy,40.52607,29.87857,70.51341,10.6475,51.18599,0.24,0.36,2.70864,0.0,0.0,0.0,7.0,50.1
nyc_manhattan,1,L7_safeguard,40.52607,29.87857,70.51341,10.6475,51.18599,0.24,0.36,2.70864,0.0,0.0,0.0,7.0,50.1
nyc_manhattan,2,L0_det,46.85848,33.65848,79.43401,13.2,60.73947,0.68,1.725,7.7511,0.0,0.0,0.0,6.0,20.1
nyc_manhattan,2,L1_scen_blind,47.32091,28.89591,68.19434,18.425,58.72351,0.245,0.345,2.37583,0.0,0.0,0.0,7.0,20.1
nyc_manhattan,2,L2_recourse,42.85936,27.91436,65.8779,14.945,53.66319,0.255,0.365,2.40866,0.0,0.0,0.0,7.0,20.1
nyc_manhattan,2,L3_dependence,44.12309,31.37309,74.04049,12.75,56.43233,0.35,0.59,3.28459,0.0,0.0,0.0,7.0,20.1
nyc_manhattan,2,L4_conformal,40.52308,30.50558,71.99317,10.0175,48.50012,0.02,0.025,0.12593,0.0,0.0,0.0,9.0,30.1
nyc_manhattan,2,L5_dro,40.92225,30.74975,72.56941,10.1725,48.7506,0.02,0.025,0.18777,0.0,0.0,0.0,9.0,30.1
nyc_manhattan,2,L6_policy,42.64641,30.35141,71.62934,12.295,53.41715,0.3,0.415,3.04415,0.0,0.0,0.0,7.0,50.1
nyc_manhattan,2,L7_safeguard,42.64641,30.35141,71.62934,12.295,53.41715,0.3,0.415,3.04415,0.0,0.0,0.0,7.0,50.1
nyc_queens,1,L0_det,45.11088,39.18088,92.46687,5.93,57.75675,0.63,1.05,15.36386,0.0,0.0,0.0,3.0,20.0
nyc_queens,1,L1_scen_blind,42.89834,38.54834,90.97407,4.35,52.21366,0.245,0.29,3.98942,0.0,0.0,0.0,4.0,20.0
nyc_queens,1,L2_recourse,42.91063,38.68063,91.28628,4.23,52.1428,0.195,0.225,2.98101,0.0,0.0,0.0,4.0,20.0
nyc_queens,1,L3_dependence,41.52703,37.45453,88.3927,4.0725,51.02539,0.32,0.345,4.73187,0.0,0.0,0.0,4.0,20.0
nyc_queens,1,L4_conformal,43.99713,40.54463,95.68534,3.4525,50.62547,0.01,0.01,0.12854,0.0,0.0,0.0,5.0,30.0
nyc_queens,1,L5_dro,42.76443,39.00943,92.06224,3.755,48.45893,0.01,0.01,0.12638,0.0,0.0,0.0,5.0,30.0
nyc_queens,1,L6_policy,42.89803,38.87303,91.74035,4.025,49.47917,0.025,0.025,0.2617,0.0,0.0,0.0,5.0,50.0
nyc_queens,1,L7_safeguard,41.52703,37.45453,88.3927,4.0725,51.02539,0.32,0.345,4.73187,0.0,0.0,0.0,4.0,50.0
nyc_queens,2,L0_det,46.52098,41.08098,96.95111,5.44,61.65838,0.54,0.9,13.34223,0.0,0.0,0.0,4.0,20.0
nyc_queens,2,L1_scen_blind,43.53398,38.74148,91.42989,4.7925,56.90407,0.275,0.37,4.6254,0.0,0.0,0.0,4.0,20.0
nyc_queens,2,L2_recourse,42.5511,37.8286,89.27549,4.7225,55.69111,0.245,0.33,4.97862,0.0,0.0,0.0,4.0,20.0
nyc_queens,2,L3_dependence,42.27738,38.49738,90.85381,3.78,52.53499,0.125,0.13,1.96916,0.0,0.0,0.0,4.0,20.0
nyc_queens,2,L4_conformal,43.84365,40.03865,94.49121,3.805,51.08418,0.02,0.02,0.26995,0.0,0.0,0.0,5.0,30.0
nyc_queens,2,L5_dro,44.48825,40.79575,96.27796,3.6925,52.05079,0.025,0.025,0.29053,0.0,0.0,0.0,5.0,30.0
nyc_queens,2,L6_policy,43.72715,39.22215,92.56428,4.505,52.31365,0.075,0.08,1.09663,0.0,0.0,0.0,5.0,50.0
nyc_queens,2,L7_safeguard,42.27738,38.49738,90.85381,3.78,52.53499,0.125,0.13,1.96916,0.0,0.0,0.0,4.0,50.0
nyc_brooklyn,1,L0_det,30.75411,26.82161,63.29899,3.9325,41.95862,0.46,0.64,4.54884,0.0,0.0,0.005,4.0,20.0
nyc_brooklyn,1,L1_scen_blind,30.12997,25.38247,59.90263,4.7475,39.52123,0.29,0.375,3.82659,0.0,0.0,0.0,5.0,20.0
nyc_brooklyn,1,L2_recourse,29.28483,25.28983,59.684,3.995,38.88499,0.29,0.375,4.16078,0.0,0.0,0.0,5.0,20.0
nyc_brooklyn,1,L3_dependence,30.08676,26.35176,62.19015,3.735,40.12141,0.315,0.46,4.65364,0.0,0.0,0.0,5.0,20.0
nyc_brooklyn,1,L4_conformal,28.67923,26.27923,62.01897,2.4,33.69077,0.015,0.02,0.19513,0.0,0.0,0.0,6.0,30.0
nyc_brooklyn,1,L5_dro,28.36912,26.02412,61.41693,2.345,33.16448,0.015,0.02,0.19606,0.0,0.0,0.0,6.0,30.0
nyc_brooklyn,1,L6_policy,28.88756,25.69256,60.63445,3.195,36.4764,0.18,0.195,2.77166,0.0,0.0,0.0,5.0,50.0
nyc_brooklyn,1,L7_safeguard,28.88756,25.69256,60.63445,3.195,36.4764,0.18,0.195,2.77166,0.0,0.0,0.0,5.0,50.0
nyc_brooklyn,2,L0_det,30.69507,25.93007,61.19497,4.765,42.37405,0.615,0.865,9.91207,0.0,0.0,0.005,5.0,20.0
nyc_brooklyn,2,L1_scen_blind,29.40726,25.81476,60.92284,3.5925,37.74083,0.3,0.345,3.24943,0.0,0.0,0.0,5.0,20.0
nyc_brooklyn,2,L2_recourse,29.62145,26.46145,62.44901,3.16,35.68133,0.065,0.08,0.4241,0.0,0.0,0.0,5.0,20.0
nyc_brooklyn,2,L3_dependence,29.10018,26.31018,62.09203,2.79,36.76784,0.21,0.235,2.30699,0.0,0.0,0.0,6.0,20.0
nyc_brooklyn,2,L4_conformal,30.6871,28.0671,66.23835,2.62,35.61722,0.005,0.005,0.08835,0.0,0.0,0.0,7.0,30.0
nyc_brooklyn,2,L5_dro,28.63096,26.13346,61.67497,2.4975,33.87332,0.005,0.005,0.1036,0.0,0.0,0.0,6.0,30.0
nyc_brooklyn,2,L6_policy,29.04864,26.00364,61.36859,3.045,37.31523,0.195,0.215,2.96251,0.0,0.0,0.0,5.0,50.0
nyc_brooklyn,2,L7_safeguard,29.10018,26.31018,62.09203,2.79,36.76784,0.21,0.235,2.30699,0.0,0.0,0.0,6.0,50.0
dublin_real,1,L0_det,98.38276,79.02026,186.48782,19.3625,128.61731,0.97,3.99,60.1389,0.0,0.0,0.0,11.0,20.1
dublin_real,1,L1_scen_blind,92.5273,78.1598,184.45713,14.3675,126.01846,0.66,1.765,25.81342,0.0,0.0,0.0,12.0,20.1
dublin_real,1,L2_recourse,91.34982,79.74232,188.19188,11.6075,120.53851,0.71,1.89,25.11892,0.0,0.0,0.0,12.0,20.1
dublin_real,1,L3_dependence,86.60427,75.04427,177.10447,11.56,117.21113,0.655,1.62,23.84652,0.0,0.0,0.0,13.0,20.1
dublin_real,1,L4_conformal,90.77868,82.59118,194.91518,8.1875,110.72746,0.09,0.1,1.36302,0.0,0.0,0.0,17.0,30.1
dublin_real,1,L5_dro,90.5801,82.1201,193.80343,8.46,109.26144,0.105,0.13,2.00793,0.0,0.0,0.0,17.0,30.1
dublin_real,1,L6_policy,87.62168,79.18668,186.88057,8.435,108.27995,0.265,0.36,4.90142,0.0,0.0,0.0,16.0,50.1
dublin_real,1,L7_safeguard,86.60427,75.04427,177.10447,11.56,117.21113,0.655,1.62,23.84652,0.0,0.0,0.0,13.0,50.1
dublin_real,2,L0_det,91.8627,77.2027,182.19838,14.66,125.9308,0.87,3.385,49.14819,0.0,0.0,0.0,11.0,20.1
dublin_real,2,L1_scen_blind,93.76553,76.79553,181.23745,16.97,127.16377,0.665,1.61,22.72629,0.0,0.0,0.0,12.0,20.1
