family,rep,seed,policy,E_cost,E_fuel,E_emission,E_late_min,P_late,P_defer,P_trigger,n_veh,arc_shortfall_share,pct_low,pct_med,pct_high,secs
nyc_manhattan,1,0,fixed_low,38.059,27.009,63.74,0.0,0.0,0.0,0.29,7,0.3009,100.0,0.0,0.0,20.1
nyc_manhattan,1,0,fixed_med,48.961,29.969,70.726,0.0,0.0,0.0,0.29,7,0.538,0.0,100.0,0.0,20.0
nyc_manhattan,1,0,fixed_high,62.565,35.275,83.25,0.0,0.0,0.0,0.305,7,0.7845,0.0,0.0,100.0,20.0
nyc_manhattan,1,0,opt_nofeas,44.771,29.106,68.689,0.0,0.0,0.0,0.295,7,0.439,37.3,62.7,0.0,20.0
nyc_manhattan,1,0,opt_full,44.909,34.679,81.841,0.0,0.0,0.0,0.3,7,0.2761,89.6,10.4,0.0,20.0
nyc_manhattan,1,1,fixed_low,37.853,27.131,64.029,0.0,0.0,0.0,0.29,7,0.2914,100.0,0.0,0.0,20.0
nyc_manhattan,1,1,fixed_med,48.721,30.104,71.045,0.0,0.0,0.0,0.29,7,0.5271,0.0,100.0,0.0,20.0
nyc_manhattan,1,1,fixed_high,62.629,35.159,82.974,0.0,0.0,0.0,0.29,7,0.791,0.0,0.0,100.0,20.0
nyc_manhattan,1,1,opt_nofeas,47.098,29.421,69.433,0.0,0.0,0.0,0.29,7,0.499,14.9,85.1,0.0,20.0
nyc_manhattan,1,1,opt_full,42.402,32.357,76.362,0.0,0.0,0.0,0.32,7,0.2676,97.0,3.0,0.0,20.0
nyc_manhattan,1,2,fixed_low,37.853,27.131,64.029,0.0,0.0,0.0,0.29,7,0.2914,100.0,0.0,0.0,20.0
nyc_manhattan,1,2,fixed_med,48.719,30.022,70.852,0.0,0.0,0.0,0.29,7,0.5295,0.0,100.0,0.0,20.0
nyc_manhattan,1,2,fixed_high,63.834,36.419,85.949,0.0,0.0,0.0,0.305,7,0.787,0.0,0.0,100.0,20.0
nyc_manhattan,1,2,opt_nofeas,44.606,29.069,68.602,0.0,0.0,0.0,0.325,7,0.4322,40.3,59.7,0.0,20.0
nyc_manhattan,1,2,opt_full,42.945,32.455,76.593,0.0,0.0,0.0,0.235,8,0.2897,92.8,7.2,0.0,20.0
nyc_manhattan,1,3,fixed_low,37.9,26.947,63.596,0.0,0.0,0.0,0.29,7,0.298,100.0,0.0,0.0,20.0
nyc_manhattan,1,3,fixed_med,48.687,29.817,70.368,0.0,0.0,0.0,0.29,7,0.5343,0.0,100.0,0.0,20.0
nyc_manhattan,1,3,fixed_high,62.507,34.982,82.557,0.0,0.0,0.0,0.29,7,0.7927,0.0,0.0,100.0,20.0
nyc_manhattan,1,3,opt_nofeas,46.874,29.326,69.21,0.0,0.0,0.0,0.29,7,0.4949,17.9,82.1,0.0,20.0
nyc_manhattan,1,3,opt_full,44.466,34.661,81.8,0.0,0.0,0.0,0.295,7,0.261,92.8,7.2,0.0,20.0
nyc_manhattan,1,4,fixed_low,39.093,28.193,66.534,0.0,0.0,0.0,0.305,7,0.294,100.0,0.0,0.0,20.0
nyc_manhattan,1,4,fixed_med,50.1,31.253,73.756,0.0,0.0,0.0,0.305,7,0.5313,0.0,100.0,0.0,20.0
nyc_manhattan,1,4,fixed_high,64.136,36.533,86.218,0.0,0.0,0.0,0.305,7,0.7926,0.0,0.0,100.0,20.0
nyc_manhattan,1,4,opt_nofeas,47.096,30.489,71.953,0.0,0.0,0.0,0.305,7,0.4644,29.9,70.1,0.0,20.0
nyc_manhattan,1,4,opt_full,43.693,33.48,79.014,0.0,0.0,0.0,0.28,7,0.2786,91.0,9.0,0.0,20.0
nyc_manhattan,2,0,fixed_low,39.734,27.557,65.033,0.0,0.0,0.0,0.405,7,0.3208,100.0,0.0,0.0,20.0
nyc_manhattan,2,0,fixed_med,51.189,30.481,71.936,0.0,0.0,0.0,0.405,7,0.5754,0.0,100.0,0.0,20.0
nyc_manhattan,2,0,fixed_high,64.719,35.746,84.361,0.0,0.0,0.0,0.405,7,0.8222,0.0,0.0,100.0,20.0
nyc_manhattan,2,0,opt_nofeas,48.335,29.827,70.393,0.0,0.0,0.0,0.34,7,0.514,26.9,73.1,0.0,20.0
