family,rep,seed,policy,train_obj,test_cost,secs
nyc_manhattan,1,0,fixed_low,40.702,38.94,20.1
nyc_manhattan,1,0,opt_full,44.913,43.87,20.0
nyc_manhattan,1,0,opt_full_3x,44.913,43.87,50.0
nyc_manhattan,1,1,fixed_low,40.825,39.358,20.0
nyc_manhattan,1,1,opt_full,45.573,44.22,20.0
nyc_manhattan,1,1,opt_full_3x,45.573,44.22,50.0
nyc_manhattan,1,2,fixed_low,39.949,38.771,20.0
nyc_manhattan,1,2,opt_full,43.363,41.814,20.0
nyc_manhattan,1,2,opt_full_3x,43.363,41.814,50.0
nyc_manhattan,1,3,fixed_low,40.902,39.173,20.0
nyc_manhattan,1,3,opt_full,45.32,44.466,20.0
nyc_manhattan,1,3,opt_full_3x,45.32,44.466,50.0
nyc_manhattan,1,4,fixed_low,40.573,39.093,20.0
nyc_manhattan,1,4,opt_full,44.884,43.693,20.0
nyc_manhattan,1,4,opt_full_3x,44.884,43.693,50.0
nyc_manhattan,2,0,fixed_low,39.957,39.734,20.0
nyc_manhattan,2,0,opt_full,43.485,44.123,20.0
nyc_manhattan,2,0,opt_full_3x,43.485,44.123,50.0
nyc_manhattan,2,1,fixed_low,39.934,39.8,20.0
nyc_manhattan,2,1,opt_full,44.169,45.289,20.0
nyc_manhattan,2,1,opt_full_3x,44.169,45.289,50.0
nyc_manhattan,2,2,fixed_low,39.63,39.802,20.0
nyc_manhattan,2,2,opt_full,44.667,44.731,20.0
nyc_manhattan,2,2,opt_full_3x,44.101,44.26,50.0
nyc_manhattan,2,3,fixed_low,39.993,39.88,20.0
nyc_manhattan,2,3,opt_full,45.036,45.286,20.0
nyc_manhattan,2,3,opt_full_3x,44.517,45.076,50.0
nyc_manhattan,2,4,fixed_low,39.843,39.538,20.0
nyc_manhattan,2,4,opt_full,45.352,45.832,20.0
nyc_manhattan,2,4,opt_full_3x,45.352,45.832,50.0
nyc_manhattan,3,0,fixed_low,38.55,38.704,20.0
nyc_manhattan,3,0,opt_full,43.243,42.866,20.0
nyc_manhattan,3,0,opt_full_3x,43.243,42.866,50.0
nyc_manhattan,3,1,fixed_low,38.267,38.518,20.0
nyc_manhattan,3,1,opt_full,46.858,46.847,20.0
nyc_manhattan,3,1,opt_full_3x,46.208,46.05,50.0
nyc_manhattan,3,2,fixed_low,38.509,38.566,20.0
nyc_manhattan,3,2,opt_full,43.789,43.869,20.0
nyc_manhattan,3,2,opt_full_3x,43.789,43.869,50.0
nyc_manhattan,3,3,fixed_low,38.566,38.655,20.0
nyc_manhattan,3,3,opt_full,42.402,42.128,20.0
nyc_manhattan,3,3,opt_full_3x,42.402,42.128,50.0
nyc_manhattan,3,4,fixed_low,38.566,38.655,20.0
nyc_manhattan,3,4,opt_full,44.87,44.881,20.0
nyc_manhattan,3,4,opt_full_3x,44.424,44.417,50.0
nyc_manhattan,4,0,fixed_low,40.077,40.035,20.0
nyc_manhattan,4,0,opt_full,44.681,45.194,20.0
nyc_manhattan,4,0,opt_full_3x,44.074,44.331,50.0
nyc_manhattan,4,1,fixed_low,40.237,40.208,20.0
nyc_manhattan,4,1,opt_full,46.894,47.953,20.0
nyc_manhattan,4,1,opt_full_3x,45.551,45.796,50.0
nyc_manhattan,4,2,fixed_low,40.525,40.515,20.0
