family,rep,fixed_high,fixed_low,fixed_med,opt_full,opt_nofeas
nyc_manhattan,1,62.629,37.9,48.721,43.693,46.874
nyc_manhattan,2,64.839,39.8,51.189,45.286,48.315
nyc_manhattan,3,63.549,38.655,49.715,43.869,48.349
nyc_manhattan,4,65.356,40.444,51.131,43.861,48.751
nyc_manhattan,5,63.158,38.363,49.303,41.808,47.387
peshawar_real,1,163.853,96.924,126.21,103.195,102.857
peshawar_real,2,166.566,99.777,125.645,101.81,106.715
peshawar_real,3,162.538,97.568,122.941,101.015,102.917
peshawar_real,4,164.697,99.404,124.503,108.792,112.496
peshawar_real,5,165.851,101.662,126.333,111.748,114.604
solomon_c101,1,887.329,704.127,765.256,776.348,769.234
solomon_c101,2,813.158,664.044,740.969,701.296,723.444
solomon_c101,3,761.51,699.754,712.369,686.107,664.216
solomon_c101,4,543.316,457.73,499.339,434.673,439.878
solomon_c101,5,564.438,430.722,454.059,442.757,433.992
solomon_r202,1,449.277,325.528,369.976,352.17,348.139
solomon_r202,2,457.831,335.025,379.47,366.301,359.409
solomon_r202,3,465.319,330.827,380.43,353.965,362.078
solomon_r202,4,443.616,335.349,367.167,352.454,350.718
solomon_r202,5,444.826,338.806,389.07,351.22,354.996
