family,rep,method,seed,secs,E_cost,E_fuel,E_emission,E_recourse,CVaR_cost,P_trigger,E_returns,E_return_km,P_late,E_late_min,P_defer,n_veh,kappa,rho,tau_mean,selected
nyc_manhattan,1,DET,0,20.1,48.02145,36.48145,86.09621,11.54,61.23921,0.665,1.4,7.93303,0.0,0.0,0.0,6.0,,,,
nyc_manhattan,1,PTO,0,20.0,49.9875,34.795,82.11621,15.1925,63.32792,0.855,2.495,11.93694,0.0,0.0,0.0,6.0,,,,
nyc_manhattan,1,SAA,0,20.0,43.87036,32.97036,77.81006,10.9,52.80924,0.315,0.39,3.16512,0.0,0.0,0.0,8.0,,,,
nyc_manhattan,1,CVAR,0,20.0,41.71372,30.25872,71.41057,11.455,54.16617,0.415,0.685,5.32691,0.0,0.0,0.0,7.0,,,,
nyc_manhattan,1,Q90C,0,30.0,41.35376,31.96126,75.42857,9.3925,49.58161,0.035,0.04,0.265,0.0,0.0,0.0,9.0,1.1438,,,
nyc_manhattan,1,RO,0,20.0,46.33632,36.47382,86.07823,9.8625,53.98443,0.005,0.01,0.03939,0.0,0.0,0.0,13.0,,,,
nyc_manhattan,1,DFR,0,50.0,40.52607,29.87857,70.51341,10.6475,51.18599,0.24,0.36,2.70864,0.0,0.0,0.0,7.0,1.1491,0.0451,0.691,DF
nyc_manhattan,1,ORT,0,20.2,39.1728,28.2203,66.59991,10.9525,50.69768,0.305,0.525,4.21575,0.0,0.0,0.0,7.0,,,,
nyc_manhattan,2,DET,0,20.0,46.85848,33.65848,79.43401,13.2,60.73947,0.68,1.725,7.7511,0.0,0.0,0.0,6.0,,,,
nyc_manhattan,2,PTO,0,20.0,48.00376,36.06626,85.11637,11.9375,59.90421,0.765,1.525,4.97274,0.0,0.0,0.0,6.0,,,,
nyc_manhattan,2,SAA,0,20.0,44.12309,31.37309,74.04049,12.75,56.43233,0.35,0.59,3.28459,0.0,0.0,0.0,7.0,,,,
nyc_manhattan,2,CVAR,0,20.0,44.16541,33.41541,78.86036,10.75,53.39959,0.18,0.225,1.01182,0.0,0.0,0.0,7.0,,,,
nyc_manhattan,2,Q90C,0,30.0,40.52308,30.50558,71.99317,10.0175,48.50012,0.02,0.025,0.12593,0.0,0.0,0.0,9.0,1.1473,,,
nyc_manhattan,2,RO,0,20.0,43.55577,33.34827,78.70192,10.2075,51.76392,0.0,0.0,0.0,0.0,0.0,0.0,11.0,,,,
nyc_manhattan,2,DFR,0,50.0,42.64641,30.35141,71.62934,12.295,53.41715,0.3,0.415,3.04415,0.0,0.0,0.0,7.0,1.1366,0.0821,0.689,DF
nyc_manhattan,2,ORT,0,20.2,40.5508,28.3658,66.9433,12.185,54.33719,0.37,0.665,4.80505,0.0,0.0,0.0,7.0,,,,
nyc_manhattan,3,DET,0,20.0,46.65199,33.79699,79.7609,12.855,59.67007,0.64,1.26,6.68924,0.0,0.0,0.0,8.0,,,,
nyc_manhattan,3,PTO,0,20.0,47.4953,33.4503,78.9427,14.045,61.49644,0.77,1.84,10.7792,0.0,0.0,0.0,6.0,,,,
nyc_manhattan,3,SAA,0,20.0,42.86576,33.09076,78.09419,9.775,52.71074,0.16,0.215,1.46862,0.0,0.0,0.0,8.0,,,,
nyc_manhattan,3,CVAR,0,20.0,40.61966,29.73466,70.1738,10.885,51.9298,0.455,0.69,3.92884,0.0,0.0,0.0,7.0,,,,
nyc_manhattan,3,Q90C,0,30.0,42.797,33.152,78.23873,9.645,51.17902,0.035,0.035,0.20453,0.0,0.0,0.0,9.0,1.1495,,,
nyc_manhattan,3,RO,0,20.0,44.91828,34.89828,82.35993,10.02,52.60151,0.005,0.005,0.03523,0.0,0.0,0.0,11.0,,,,
nyc_manhattan,3,DFR,0,50.0,40.49876,30.34126,71.60538,10.1575,50.5859,0.245,0.375,3.31897,0.0,0.0,0.0,7.0,1.1341,0.0479,0.691,DF
nyc_manhattan,3,ORT,0,20.2,37.74421,26.47171,62.47324,11.2725,50.14416,0.295,0.48,3.49617,0.0,0.0,0.0,7.0,,,,
nyc_manhattan,4,DET,0,20.0,49.08703,37.00703,87.33658,12.08,62.56756,0.7,1.475,12.93411,0.0,0.0,0.0,7.0,,,,
nyc_manhattan,4,PTO,0,20.0,49.28465,36.62965,86.44596,12.655,60.00959,0.82,1.825,12.21104,0.0,0.0,0.0,6.0,,,,
nyc_manhattan,4,SAA,0,20.0,45.19421,34.92671,82.42705,10.2675,53.12769,0.145,0.16,0.62038,0.0,0.0,0.0,8.0,,,,
nyc_manhattan,4,CVAR,0,20.0,41.36634,31.09134,73.37555,10.275,50.35432,0.2,0.25,2.01283,0.0,0.0,0.0,7.0,,,,
nyc_manhattan,4,Q90C,0,30.0,40.12816,31.34816,73.98165,8.78,47.30101,0.02,0.02,0.13342,0.0,0.0,0.0,9.0,1.1341,,,
nyc_manhattan,4,RO,0,20.0,44.56177,34.85177,82.25018,9.71,52.32011,0.0,0.0,0.0,0.0,0.0,0.0,12.0,,,,
nyc_manhattan,4,DFR,0,50.0,42.14755,32.29255,76.21043,9.855,53.04477,0.3,0.375,4.66186,0.0,0.0,0.0,7.0,1.1272,0.1159,0.69,DF
nyc_manhattan,4,ORT,0,20.2,37.49397,26.71397,63.04498,10.78,49.06519,0.38,0.62,3.29433,0.0,0.0,0.0,7.0,,,,
nyc_manhattan,5,DET,0,20.0,44.90653,33.23653,78.43822,11.67,56.53011,0.595,1.085,4.93055,0.0,0.0,0.0,7.0,,,,
nyc_manhattan,5,PTO,0,20.0,50.81523,35.77773,84.43544,15.0375,62.35695,0.915,2.905,17.2025,0.0,0.0,0.0,5.0,,,,
nyc_manhattan,5,SAA,0,20.0,41.80768,31.20268,73.63832,10.605,50.57127,0.26,0.375,1.99295,0.0,0.0,0.0,7.0,,,,
