family,rep,method,seed,E_cost,E_fuel,E_emission,E_recourse,CVaR_cost,P_trigger,E_returns,E_return_km,P_late,E_late_min,P_defer,n_veh,secs
nyc_manhattan,1,SAA,0,43.87036,32.97036,77.81006,10.9,52.80924,0.315,0.39,3.16512,0.0,0.0,0.0,8.0,20.0
nyc_manhattan,1,SAA,1,44.21955,29.91955,70.61013,14.3,55.72541,0.305,0.525,4.23991,0.0,0.0,0.0,7.0,20.0
nyc_manhattan,1,SAA,2,41.81414,31.99164,75.50027,9.8225,52.26455,0.325,0.535,2.97171,0.0,0.0,0.0,7.0,20.0
nyc_manhattan,1,SAA,3,44.46613,34.66113,81.80026,9.805,54.55251,0.295,0.53,2.11401,0.0,0.0,0.0,7.0,20.0
nyc_manhattan,1,SAA,4,43.69283,33.48033,79.01359,10.2125,54.32119,0.28,0.44,2.97677,0.0,0.0,0.0,7.0,20.0
nyc_manhattan,1,SAA,5,43.87293,33.66793,79.45631,10.205,53.36332,0.32,0.475,2.03826,0.0,0.0,0.0,7.0,20.0
nyc_manhattan,1,SAA,6,45.28086,34.49336,81.40434,10.7875,54.52006,0.275,0.44,1.4504,0.0,0.0,0.0,7.0,20.0
nyc_manhattan,1,SAA,7,45.04215,34.38465,81.14776,10.6575,55.63658,0.365,0.62,3.66788,0.0,0.0,0.0,7.0,20.0
nyc_manhattan,1,SAA,8,42.6414,31.9014,75.28731,10.74,52.87482,0.25,0.41,2.43255,0.0,0.0,0.0,7.0,20.0
nyc_manhattan,1,SAA,9,44.68147,30.96147,73.06908,13.72,57.25051,0.325,0.575,5.03169,0.0,0.0,0.0,7.0,20.0
nyc_manhattan,1,DFR,0,40.52607,29.87857,70.51341,10.6475,51.18599,0.24,0.36,2.70864,0.0,0.0,0.0,7.0,50.0
nyc_manhattan,1,DFR,1,41.80341,32.98341,77.84086,8.82,52.19524,0.21,0.34,2.93335,0.0,0.0,0.0,7.0,50.0
nyc_manhattan,1,DFR,2,41.53715,31.34215,73.96747,10.195,51.11953,0.255,0.38,2.70309,0.0,0.0,0.0,7.0,50.0
nyc_manhattan,1,DFR,3,43.07607,31.15107,73.51652,11.925,53.53558,0.25,0.365,3.14264,0.0,0.0,0.0,8.0,50.0
nyc_manhattan,1,DFR,4,41.11427,31.86177,75.19379,9.2525,51.10206,0.25,0.35,2.64199,0.0,0.0,0.0,7.0,50.0
nyc_manhattan,1,DFR,5,42.09931,30.91681,72.96367,11.1825,53.5309,0.24,0.355,3.618,0.0,0.0,0.0,7.0,50.0
nyc_manhattan,1,DFR,6,40.22657,30.04157,70.89811,10.185,50.44251,0.25,0.38,3.05427,0.0,0.0,0.0,7.0,50.0
nyc_manhattan,1,DFR,7,39.8641,30.2366,71.35838,9.6275,49.70831,0.24,0.355,2.71326,0.0,0.0,0.0,7.0,50.0
nyc_manhattan,1,DFR,8,38.43524,28.43524,67.10718,10.0,48.59042,0.235,0.35,2.96983,0.0,0.0,0.0,7.0,50.0
nyc_manhattan,1,DFR,9,41.56206,32.03956,75.61337,9.5225,51.22291,0.26,0.365,2.92441,0.0,0.0,0.0,7.0,50.0
nyc_queens,1,SAA,0,41.52703,37.45453,88.3927,4.0725,51.02539,0.32,0.345,4.73187,0.0,0.0,0.0,4.0,20.0
nyc_queens,1,SAA,1,43.5478,39.0753,92.21771,4.4725,54.21383,0.25,0.29,4.9311,0.0,0.0,0.0,4.0,20.0
nyc_queens,1,SAA,2,41.66894,37.24144,87.88979,4.4275,51.48628,0.285,0.315,5.11672,0.0,0.0,0.0,4.0,20.0
nyc_queens,1,SAA,3,42.92441,38.60941,91.1182,4.315,51.3891,0.115,0.12,2.14735,0.0,0.0,0.0,4.0,20.0
nyc_queens,1,SAA,4,44.12027,39.77777,93.87554,4.3425,51.33576,0.135,0.14,1.28808,0.0,0.0,0.0,4.0,20.0
nyc_queens,1,SAA,5,44.20308,38.58058,91.05017,5.6225,54.76522,0.225,0.26,4.67606,0.0,0.0,0.0,4.0,20.0
nyc_queens,1,SAA,6,42.49617,37.49117,88.47916,5.005,52.82083,0.225,0.26,4.65816,0.0,0.0,0.0,4.0,20.0
nyc_queens,1,SAA,7,41.64369,38.15119,90.0368,3.4925,48.06139,0.04,0.045,0.55637,0.0,0.0,0.0,4.0,20.0
nyc_queens,1,SAA,8,42.31559,38.29059,90.36579,4.025,51.49306,0.235,0.26,3.46683,0.0,0.0,0.0,4.0,20.0
nyc_queens,1,SAA,9,42.17409,37.12909,87.62465,5.045,51.6409,0.225,0.26,3.30824,0.0,0.0,0.0,4.0,20.0
nyc_queens,1,DFR,0,41.52703,37.45453,88.3927,4.0725,51.02539,0.32,0.345,4.73187,0.0,0.0,0.0,4.0,50.0
nyc_queens,1,DFR,1,42.28041,38.20041,90.15297,4.08,48.79175,0.02,0.025,0.32199,0.0,0.0,0.0,5.0,50.0
nyc_queens,1,DFR,2,41.99009,38.84259,91.66852,3.1475,48.22278,0.015,0.015,0.1389,0.0,0.0,0.0,5.0,50.0
nyc_queens,1,DFR,3,41.61189,37.91189,89.47207,3.7,48.22269,0.015,0.02,0.2769,0.0,0.0,0.0,5.0,50.0
nyc_queens,1,DFR,4,41.8878,38.1603,90.05831,3.7275,48.97949,0.025,0.03,0.54711,0.0,0.0,0.0,5.0,50.0
nyc_queens,1,DFR,5,43.61616,39.44116,93.08113,4.175,49.99105,0.015,0.015,0.23059,0.0,0.0,0.0,5.0,50.0
nyc_queens,1,DFR,6,41.28293,37.62043,88.78422,3.6625,47.57942,0.015,0.02,0.2834,0.0,0.0,0.0,5.0,50.0
nyc_queens,1,DFR,7,41.30895,37.73145,89.04622,3.5775,47.2786,0.01,0.01,0.17244,0.0,0.0,0.0,5.0,50.0
nyc_queens,1,DFR,8,41.47375,37.86125,89.35255,3.6125,48.46977,0.015,0.02,0.2769,0.0,0.0,0.0,5.0,50.0
nyc_queens,1,DFR,9,42.17409,37.12909,87.62465,5.045,51.6409,0.225,0.26,3.30824,0.0,0.0,0.0,4.0,50.0
dublin_real,1,SAA,0,86.60427,75.04427,177.10447,11.56,117.21113,0.655,1.62,23.84652,0.0,0.0,0.0,13.0,20.0
dublin_real,1,SAA,1,87.12577,73.57827,173.64471,13.5475,119.19391,0.64,1.715,23.6343,0.0,0.0,0.0,12.0,20.0
