family,method,seed,E_cost,E_fuel,E_emission,E_recourse,CVaR_cost,P_trigger,E_returns,E_return_km,P_late,E_late_min,P_defer,n_veh,secs
nyc_manhattan,SAA,0,43.87036,32.97036,77.81006,10.9,52.80924,0.315,0.39,3.16512,0.0,0.0,0.0,8.0,20.0
nyc_manhattan,SAA,1,44.21955,29.91955,70.61013,14.3,55.72541,0.305,0.525,4.23991,0.0,0.0,0.0,7.0,20.0
nyc_manhattan,SAA,2,41.81414,31.99164,75.50027,9.8225,52.26455,0.325,0.535,2.97171,0.0,0.0,0.0,7.0,20.0
nyc_manhattan,SAA,3,44.46613,34.66113,81.80026,9.805,54.55251,0.295,0.53,2.11401,0.0,0.0,0.0,7.0,20.0
nyc_manhattan,SAA,4,43.69283,33.48033,79.01359,10.2125,54.32119,0.28,0.44,2.97677,0.0,0.0,0.0,7.0,20.0
nyc_manhattan,SAA,5,43.87293,33.66793,79.45631,10.205,53.36332,0.32,0.475,2.03826,0.0,0.0,0.0,7.0,20.0
nyc_manhattan,SAA,6,45.28086,34.49336,81.40434,10.7875,54.52006,0.275,0.44,1.4504,0.0,0.0,0.0,7.0,20.0
nyc_manhattan,SAA,7,45.04215,34.38465,81.14776,10.6575,55.63658,0.365,0.62,3.66788,0.0,0.0,0.0,7.0,20.0
nyc_manhattan,SAA,8,42.6414,31.9014,75.28731,10.74,52.87482,0.25,0.41,2.43255,0.0,0.0,0.0,7.0,20.0
nyc_manhattan,SAA,9,44.68147,30.96147,73.06908,13.72,57.25051,0.325,0.575,5.03169,0.0,0.0,0.0,7.0,20.0
nyc_manhattan,SAA,10,42.51786,32.13036,75.82766,10.3875,51.56543,0.28,0.425,2.55198,0.0,0.0,0.0,7.0,20.0
nyc_manhattan,SAA,11,43.20454,32.50704,76.71662,10.6975,53.56243,0.39,0.61,3.35988,0.0,0.0,0.0,7.0,20.0
nyc_manhattan,SAA,12,43.60607,31.75857,74.95022,11.8475,55.74963,0.365,0.555,4.19074,0.0,0.0,0.0,7.0,20.0
nyc_manhattan,SAA,13,42.54547,30.56797,72.14041,11.9775,53.30223,0.415,0.64,3.47977,0.0,0.0,0.0,7.0,20.0
nyc_manhattan,SAA,14,44.93584,34.39834,81.18007,10.5375,55.67763,0.425,0.63,4.34501,0.0,0.0,0.0,7.0,20.0
nyc_manhattan,SAA,15,44.17452,33.92452,80.06188,10.25,56.60642,0.375,0.595,3.8118,0.0,0.0,0.0,7.0,20.0
nyc_manhattan,SAA,16,45.815,34.365,81.10139,11.45,57.95739,0.39,0.645,3.74726,0.0,0.0,0.0,7.0,20.0
nyc_manhattan,SAA,17,44.03686,29.48686,69.58899,14.55,55.72586,0.29,0.485,3.41897,0.0,0.0,0.0,7.0,20.0
nyc_manhattan,SAA,18,44.42855,31.71105,74.83808,12.7175,55.67886,0.415,0.69,5.06676,0.0,0.0,0.0,7.0,20.0
nyc_manhattan,SAA,19,43.49995,30.62745,72.28078,12.8725,54.78996,0.31,0.525,3.95232,0.0,0.0,0.0,7.0,20.1
nyc_manhattan,SAA,20,44.7451,33.5176,79.10155,11.2275,55.84473,0.34,0.52,4.98126,0.0,0.0,0.0,7.0,20.0
nyc_manhattan,SAA,21,43.82254,30.07754,70.98299,13.745,55.94996,0.305,0.525,3.60736,0.0,0.0,0.0,7.0,20.0
nyc_manhattan,SAA,22,44.31683,29.15183,68.79832,15.165,55.58145,0.29,0.485,3.4694,0.0,0.0,0.0,7.0,20.0
nyc_manhattan,SAA,23,43.55662,28.75162,67.85383,14.805,55.54651,0.29,0.485,3.38081,0.0,0.0,0.0,7.0,20.1
nyc_manhattan,SAA,24,43.2778,32.2653,76.14611,11.0125,54.13827,0.375,0.58,4.02999,0.0,0.0,0.0,7.0,20.1
nyc_manhattan,SAA,25,45.18716,31.53966,74.43359,13.6475,55.25534,0.255,0.405,2.6945,0.0,0.0,0.0,7.0,20.0
nyc_manhattan,SAA,26,45.21143,33.62893,79.36427,11.5825,55.28064,0.215,0.32,1.7971,0.0,0.0,0.0,8.0,20.0
nyc_manhattan,SAA,27,44.00525,28.94025,68.29898,15.065,55.46286,0.305,0.495,3.39967,0.0,0.0,0.0,7.0,20.0
nyc_manhattan,SAA,28,42.06484,28.75484,67.86142,13.31,53.83631,0.29,0.485,3.57379,0.0,0.0,0.0,7.0,20.0
nyc_manhattan,SAA,29,44.46884,29.35634,69.28096,15.1125,56.61267,0.285,0.485,3.67477,0.0,0.0,0.0,7.0,20.0
nyc_manhattan,Q90C,0,42.91873,33.37123,78.7561,9.5475,50.70895,0.025,0.03,0.14707,0.0,0.0,0.0,9.0,30.1
nyc_manhattan,Q90C,1,43.76859,33.32359,78.64367,10.445,51.71611,0.015,0.02,0.11768,0.0,0.0,0.0,10.0,30.1
nyc_manhattan,Q90C,2,41.3576,32.2176,76.03354,9.14,49.47014,0.03,0.035,0.25051,0.0,0.0,0.0,9.0,30.0
nyc_manhattan,Q90C,3,41.74017,32.28267,76.18711,9.4575,49.60045,0.03,0.035,0.20452,0.0,0.0,0.0,9.0,30.1
nyc_manhattan,Q90C,4,41.42497,31.67997,74.76474,9.745,49.12896,0.02,0.025,0.19084,0.0,0.0,0.0,9.0,30.1
nyc_manhattan,Q90C,5,41.48828,31.87578,75.22683,9.6125,49.17135,0.03,0.03,0.19568,0.0,0.0,0.0,9.0,30.1
nyc_manhattan,Q90C,6,41.3714,32.1714,75.9245,9.2,48.25391,0.015,0.02,0.13203,0.0,0.0,0.0,9.0,30.1
nyc_manhattan,Q90C,7,49.07875,36.09125,85.17534,12.9875,56.88178,0.02,0.02,0.14161,0.0,0.0,0.0,9.0,30.1
nyc_manhattan,Q90C,8,42.06604,32.98104,77.83525,9.085,49.69281,0.03,0.035,0.17284,0.0,0.0,0.0,9.0,30.1
nyc_manhattan,Q90C,9,41.64366,32.26366,76.14224,9.38,49.71458,0.015,0.015,0.11795,0.0,0.0,0.0,10.0,30.1
nyc_manhattan,Q90C,10,43.11858,33.72358,79.58765,9.395,51.32879,0.03,0.035,0.29702,0.0,0.0,0.0,9.0,30.1
nyc_manhattan,Q90C,11,43.15368,33.79118,79.74717,9.3625,50.4733,0.02,0.025,0.23361,0.0,0.0,0.0,9.0,30.1
nyc_manhattan,Q90C,12,42.27032,32.80532,77.42056,9.465,49.68653,0.02,0.025,0.145,0.0,0.0,0.0,9.0,30.1
nyc_manhattan,Q90C,13,42.16005,32.01255,75.54962,10.1475,50.34315,0.02,0.025,0.1487,0.0,0.0,0.0,9.0,30.1
nyc_manhattan,Q90C,14,42.48935,33.42435,78.88146,9.065,50.23162,0.015,0.02,0.10651,0.0,0.0,0.0,10.0,30.1
nyc_manhattan,Q90C,15,42.10143,31.92893,75.35227,10.1725,50.00082,0.02,0.025,0.17698,0.0,0.0,0.0,9.0,30.1
nyc_manhattan,Q90C,16,44.25027,32.16527,75.91003,12.085,52.12413,0.015,0.02,0.12043,0.0,0.0,0.0,10.0,30.1
nyc_manhattan,Q90C,17,43.0546,33.1646,78.26846,9.89,51.07432,0.02,0.025,0.16396,0.0,0.0,0.0,9.0,30.0
nyc_manhattan,Q90C,18,42.82118,33.89368,79.98908,8.9275,51.04555,0.025,0.025,0.16721,0.0,0.0,0.0,10.0,30.1
nyc_manhattan,Q90C,19,42.87291,32.87791,77.59187,9.995,50.98936,0.03,0.035,0.20752,0.0,0.0,0.0,9.0,30.1
nyc_manhattan,Q90C,20,42.367,33.2495,78.46882,9.1175,49.90437,0.015,0.015,0.07705,0.0,0.0,0.0,10.0,30.1
nyc_manhattan,Q90C,21,44.41946,32.41196,76.49223,12.0075,52.20772,0.03,0.035,0.1819,0.0,0.0,0.0,9.0,30.1
nyc_manhattan,Q90C,22,42.48029,32.48779,76.67118,9.9925,50.46864,0.035,0.04,0.23453,0.0,0.0,0.0,9.0,30.1
nyc_manhattan,Q90C,23,42.46822,33.01572,77.9171,9.4525,49.98305,0.02,0.025,0.12241,0.0,0.0,0.0,10.0,30.1
nyc_manhattan,Q90C,24,54.07041,35.66041,84.15858,18.41,62.82438,0.02,0.025,0.26358,0.0,0.0,0.0,9.0,30.2
nyc_manhattan,Q90C,25,54.07041,35.66041,84.15858,18.41,62.82438,0.02,0.025,0.26358,0.0,0.0,0.0,9.0,30.1
nyc_manhattan,Q90C,26,41.22817,32.07567,75.69858,9.1525,49.29516,0.015,0.02,0.12197,0.0,0.0,0.0,9.0,30.1
nyc_manhattan,Q90C,27,42.24239,32.67739,77.11864,9.565,50.71275,0.015,0.02,0.07599,0.0,0.0,0.0,10.0,30.0
nyc_manhattan,Q90C,28,41.59959,32.18209,75.94974,9.4175,49.58519,0.035,0.04,0.17076,0.0,0.0,0.0,9.0,30.0
nyc_manhattan,Q90C,29,40.60847,31.82347,75.10338,8.785,48.02779,0.02,0.025,0.14801,0.0,0.0,0.0,9.0,30.0
nyc_manhattan,DFR,0,40.52607,29.87857,70.51341,10.6475,51.18599,0.24,0.36,2.70864,0.0,0.0,0.0,7.0,50.0
nyc_manhattan,DFR,1,41.14604,31.29104,73.84684,9.855,51.16151,0.255,0.365,3.24888,0.0,0.0,0.0,7.0,50.0
nyc_manhattan,DFR,2,41.53715,31.34215,73.96747,10.195,51.11953,0.255,0.38,2.70309,0.0,0.0,0.0,7.0,50.0
nyc_manhattan,DFR,3,43.07607,31.15107,73.51652,11.925,53.53558,0.25,0.365,3.14264,0.0,0.0,0.0,8.0,50.0
nyc_manhattan,DFR,4,40.38479,30.03979,70.8939,10.345,50.82151,0.245,0.365,2.62411,0.0,0.0,0.0,7.0,50.2
nyc_manhattan,DFR,5,43.10532,32.50032,76.70075,10.605,51.10326,0.145,0.18,0.71445,0.0,0.0,0.0,8.0,50.0
nyc_manhattan,DFR,6,41.32639,30.09639,71.02748,11.23,52.30967,0.255,0.395,3.46011,0.0,0.0,0.0,7.0,50.0
nyc_manhattan,DFR,7,39.8641,30.2366,71.35838,9.6275,49.70831,0.24,0.355,2.71326,0.0,0.0,0.0,7.0,50.0
nyc_manhattan,DFR,8,40.26264,29.96764,70.72362,10.295,50.01488,0.265,0.39,1.81209,0.0,0.0,0.0,7.0,50.0
nyc_manhattan,DFR,9,41.56206,32.03956,75.61337,9.5225,51.22291,0.26,0.365,2.92441,0.0,0.0,0.0,7.0,50.0
nyc_manhattan,DFR,10,40.37663,30.31913,71.55316,10.0575,50.41782,0.215,0.31,2.91598,0.0,0.0,0.0,8.0,50.0
nyc_manhattan,DFR,11,42.8615,33.3165,78.62695,9.545,53.18413,0.255,0.38,3.1159,0.0,0.0,0.0,7.0,50.0
nyc_manhattan,DFR,12,41.7495,31.482,74.29751,10.2675,52.7124,0.26,0.405,2.92978,0.0,0.0,0.0,7.0,50.0
nyc_manhattan,DFR,13,40.33421,30.24171,71.37044,10.0925,50.95323,0.21,0.325,2.61494,0.0,0.0,0.0,7.0,50.0
nyc_manhattan,DFR,14,44.02466,34.86216,82.27469,9.1625,53.52487,0.235,0.345,1.47218,0.0,0.0,0.0,7.0,50.0
nyc_manhattan,DFR,15,38.81812,28.29562,66.77767,10.5225,49.79902,0.255,0.39,3.59611,0.0,0.0,0.0,7.0,50.0
nyc_manhattan,DFR,16,40.20021,30.36021,71.65011,9.84,49.17322,0.225,0.33,1.45956,0.0,0.0,0.0,7.0,50.0
nyc_manhattan,DFR,17,41.6305,30.568,72.14047,11.0625,52.64792,0.275,0.405,3.82641,0.0,0.0,0.0,7.0,50.0
nyc_manhattan,DFR,18,39.38657,29.27407,69.08681,10.1125,49.82987,0.26,0.395,3.09384,0.0,0.0,0.0,7.0,50.0
nyc_manhattan,DFR,19,41.52902,31.92902,75.3525,9.6,51.08746,0.265,0.38,3.02215,0.0,0.0,0.0,7.0,50.0
nyc_manhattan,DFR,20,42.75258,30.56508,72.1336,12.1875,52.47343,0.22,0.29,2.52415,0.0,0.0,0.0,8.0,50.0
nyc_manhattan,DFR,21,41.46456,31.52956,74.40975,9.935,51.39823,0.245,0.375,1.88592,0.0,0.0,0.0,7.0,50.0
nyc_manhattan,DFR,22,41.86678,32.83928,77.5007,9.0275,50.89324,0.155,0.2,1.64369,0.0,0.0,0.0,8.0,50.0
nyc_manhattan,DFR,23,42.51921,33.10921,78.13773,9.41,52.58358,0.21,0.335,1.44107,0.0,0.0,0.0,7.0,50.0
nyc_manhattan,DFR,24,40.96531,30.22281,71.32584,10.7425,51.17853,0.225,0.345,2.73788,0.0,0.0,0.0,7.0,50.0
nyc_manhattan,DFR,25,40.64437,30.42187,71.79561,10.2225,51.15874,0.24,0.39,2.23601,0.0,0.0,0.0,7.0,50.0
nyc_manhattan,DFR,26,41.79087,29.06837,68.60136,12.7225,52.1437,0.25,0.39,3.15207,0.0,0.0,0.0,7.0,50.0
nyc_manhattan,DFR,27,40.92218,29.35468,69.27704,11.5675,52.0363,0.24,0.37,3.67362,0.0,0.0,0.0,7.0,50.0
nyc_manhattan,DFR,28,42.49729,29.67229,70.02661,12.825,54.58166,0.235,0.36,4.33873,0.0,0.0,0.0,7.0,50.0
nyc_manhattan,DFR,29,39.62498,29.13748,68.76444,10.4875,49.69651,0.27,0.4,2.61809,0.0,0.0,0.0,7.0,50.0
peshawar_real,SAA,0,103.66924,91.41674,215.74351,12.2525,154.42181,0.175,0.225,1.83921,0.0,0.0,0.06,27.0,20.0
peshawar_real,SAA,1,100.03531,87.97281,207.61582,12.0625,150.68167,0.195,0.245,2.19881,0.0,0.0,0.07,27.0,20.0
peshawar_real,SAA,2,99.88249,88.85749,209.70367,11.025,135.31452,0.185,0.235,2.06773,0.0,0.0,0.025,27.0,20.0
peshawar_real,SAA,3,103.19457,91.87707,216.82989,11.3175,142.51551,0.18,0.255,1.79419,0.0,0.0,0.04,27.0,20.0
peshawar_real,SAA,4,105.16119,93.50119,220.66281,11.66,154.33388,0.185,0.255,2.17003,0.0,0.0,0.065,27.0,20.0
peshawar_real,SAA,5,105.33173,92.85673,219.14187,12.475,154.20676,0.185,0.245,2.16175,0.0,0.0,0.065,27.0,20.0
peshawar_real,SAA,6,99.79363,89.08863,210.24916,10.705,139.60016,0.18,0.24,1.97144,0.0,0.0,0.04,27.0,20.0
peshawar_real,SAA,7,100.41544,89.89544,212.15325,10.52,136.00896,0.18,0.23,1.95722,0.0,0.0,0.035,27.0,20.0
peshawar_real,SAA,8,100.88616,89.25866,210.65045,11.6275,151.54774,0.185,0.245,2.36859,0.0,0.0,0.065,27.0,20.0
peshawar_real,SAA,9,107.18456,93.69956,221.13096,13.485,155.4259,0.155,0.2,2.06206,0.0,0.0,0.07,28.0,20.0
peshawar_real,SAA,10,104.94765,95.13015,224.50715,9.8175,136.24754,0.175,0.25,1.95833,0.0,0.0,0.02,27.0,20.0
peshawar_real,SAA,11,101.46275,90.36275,213.25609,11.1,141.46774,0.17,0.215,1.80817,0.0,0.0,0.045,27.0,20.0
peshawar_real,SAA,12,107.47568,95.15068,224.55561,12.325,161.5381,0.16,0.255,2.19759,0.0,0.0,0.065,27.0,20.0
peshawar_real,SAA,13,106.96255,93.64005,220.99052,13.3225,158.60064,0.19,0.255,2.41178,0.0,0.0,0.07,27.0,20.0
peshawar_real,SAA,14,106.64011,93.99011,221.81666,12.65,163.40769,0.185,0.265,2.2245,0.0,0.0,0.075,27.0,20.0
peshawar_real,SAA,15,103.60534,91.20284,215.23871,12.4025,151.8283,0.17,0.2,1.99667,0.0,0.0,0.06,27.0,20.0
peshawar_real,SAA,16,103.13156,90.01656,212.43907,13.115,163.02809,0.175,0.24,2.23255,0.0,0.0,0.095,27.0,20.0
peshawar_real,SAA,17,105.39757,93.68757,221.10267,11.71,157.93917,0.18,0.245,2.20249,0.0,0.0,0.06,27.0,20.0
peshawar_real,SAA,18,107.50591,95.38841,225.11665,12.1175,154.75528,0.18,0.25,2.35744,0.0,0.0,0.05,27.0,20.0
peshawar_real,SAA,19,98.98447,87.11947,205.60194,11.865,150.01119,0.18,0.245,2.11345,0.0,0.0,0.06,27.0,20.0
peshawar_real,SAA,20,101.76397,91.14897,215.11158,10.615,144.68793,0.16,0.215,1.9048,0.0,0.0,0.04,27.0,20.0
peshawar_real,SAA,21,103.01001,90.57501,213.75703,12.435,154.77478,0.2,0.28,2.56445,0.0,0.0,0.07,27.0,20.0
peshawar_real,SAA,22,102.26813,91.04063,214.85589,11.2275,142.70654,0.185,0.25,2.2218,0.0,0.0,0.045,27.0,20.0
peshawar_real,SAA,23,104.10061,90.30311,213.11533,13.7975,164.6338,0.135,0.165,1.70268,0.0,0.0,0.1,27.0,20.0
peshawar_real,SAA,24,103.48024,91.89274,216.86686,11.5875,144.28032,0.18,0.235,1.96156,0.0,0.0,0.05,27.0,20.0
peshawar_real,SAA,25,102.72975,89.42725,211.0483,13.3025,161.90544,0.15,0.18,1.63072,0.0,0.0,0.1,27.0,20.0
peshawar_real,SAA,26,104.85413,93.03663,219.56645,11.8175,151.14518,0.16,0.225,1.98427,0.0,0.0,0.055,27.0,20.0
peshawar_real,SAA,27,101.50255,91.03505,214.84271,10.4675,140.35799,0.165,0.225,1.86192,0.0,0.0,0.035,27.0,20.0
peshawar_real,SAA,28,103.01235,91.31235,215.49715,11.7,145.58308,0.19,0.26,2.24569,0.0,0.0,0.05,27.0,20.0
peshawar_real,SAA,29,104.31988,92.91488,219.27913,11.405,145.58136,0.145,0.17,1.89544,0.0,0.0,0.045,27.0,20.0
peshawar_real,Q90C,0,100.04781,90.98031,214.71353,9.0675,132.15082,0.105,0.13,1.49052,0.0,0.0,0.025,28.0,30.0
peshawar_real,Q90C,1,101.25992,92.14242,217.45611,9.1175,130.57423,0.115,0.145,1.32549,0.0,0.0,0.02,28.0,30.0
peshawar_real,Q90C,2,99.6217,90.4817,213.53682,9.14,125.60454,0.085,0.115,1.05562,0.0,0.0,0.01,28.0,30.0
peshawar_real,Q90C,3,100.43802,90.91302,214.55473,9.525,135.8321,0.115,0.15,1.57274,0.0,0.0,0.03,29.0,30.0
peshawar_real,Q90C,4,99.55827,90.57327,213.75293,8.985,129.10521,0.105,0.13,1.42244,0.0,0.0,0.02,29.0,30.0
peshawar_real,Q90C,5,98.8186,90.5161,213.618,8.3025,125.79058,0.11,0.135,1.3596,0.0,0.0,0.015,28.0,30.0
peshawar_real,Q90C,6,98.81196,89.90946,212.18632,8.9025,129.42605,0.11,0.145,1.34263,0.0,0.0,0.015,28.0,30.0
