family,S_train,set_id,E_cost_test,secs
nyc_manhattan,20,0,44.9557,20.0
nyc_manhattan,20,1,43.8695,20.0
nyc_manhattan,20,2,43.5472,20.0
nyc_manhattan,20,3,44.1428,20.0
nyc_manhattan,20,4,44.8569,20.0
nyc_manhattan,40,0,42.3965,20.0
nyc_manhattan,40,1,41.6546,20.0
nyc_manhattan,40,2,43.1495,20.0
nyc_manhattan,40,3,45.4407,20.0
nyc_manhattan,40,4,44.6376,20.0
nyc_manhattan,60,0,43.0352,20.0
nyc_manhattan,60,1,44.2552,20.0
nyc_manhattan,60,2,43.9707,20.0
nyc_manhattan,60,3,45.0582,20.0
nyc_manhattan,60,4,45.0752,20.0
nyc_manhattan,100,0,45.0594,20.0
nyc_manhattan,100,1,44.8601,20.0
nyc_manhattan,100,2,44.3656,20.0
nyc_manhattan,100,3,43.2364,20.0
nyc_manhattan,100,4,44.9348,20.0
nyc_manhattan,200,0,43.7887,20.0
nyc_manhattan,200,1,44.7666,20.0
nyc_manhattan,200,2,46.0659,20.0
nyc_manhattan,200,3,44.1088,20.0
nyc_manhattan,200,4,44.7876,20.0
peshawar_real,20,0,102.9865,20.0
peshawar_real,20,1,104.5366,20.1
peshawar_real,20,2,424.1462,20.0
peshawar_real,20,3,106.027,20.2
peshawar_real,20,4,108.9252,20.1
peshawar_real,40,0,105.6413,20.0
peshawar_real,40,1,102.1887,20.0
peshawar_real,40,2,305.5309,20.0
peshawar_real,40,3,103.7388,20.0
peshawar_real,40,4,107.11,20.0
peshawar_real,60,0,105.8807,20.0
peshawar_real,60,1,110.8174,20.0
peshawar_real,60,2,105.4943,20.0
peshawar_real,60,3,105.4277,20.1
peshawar_real,60,4,105.9588,20.1
peshawar_real,100,0,109.172,20.1
peshawar_real,100,1,106.8834,20.0
peshawar_real,100,2,111.0754,20.1
peshawar_real,100,3,103.3375,20.0
peshawar_real,100,4,107.4335,20.1
peshawar_real,200,0,108.3891,20.0
peshawar_real,200,1,104.3333,20.1
peshawar_real,200,2,108.4611,20.0
peshawar_real,200,3,100.2256,20.0
peshawar_real,200,4,101.7086,20.0
solomon_c101,20,0,404.6372,20.0
solomon_c101,20,1,439.7982,20.0
solomon_c101,20,2,419.2476,20.0
solomon_c101,20,3,420.5266,20.0
solomon_c101,20,4,435.6958,20.0
solomon_c101,40,0,461.7424,20.0
solomon_c101,40,1,443.3312,20.0
solomon_c101,40,2,415.1973,20.0
solomon_c101,40,3,441.7376,20.0
solomon_c101,40,4,485.4918,20.0
solomon_c101,60,0,433.1967,20.0
solomon_c101,60,1,429.3291,20.0
solomon_c101,60,2,455.9343,20.0
solomon_c101,60,3,464.9662,20.0
solomon_c101,60,4,431.4334,20.0
solomon_c101,100,0,408.5557,20.0
solomon_c101,100,1,499.6791,20.0
solomon_c101,100,2,404.5893,20.0
solomon_c101,100,3,447.8164,20.0
solomon_c101,100,4,437.6587,20.0
solomon_c101,200,0,463.2695,20.0
solomon_c101,200,1,490.2257,20.0
solomon_c101,200,2,421.6746,20.0
solomon_c101,200,3,479.8782,20.0
solomon_c101,200,4,416.7218,20.0
