family,param,mult,method,E_cost,E_fuel,E_emission,E_recourse,CVaR_cost,P_trigger,E_returns,E_return_km,P_late,E_late_min,P_defer,n_veh
nyc_manhattan,C_LATE,0.5,SAA,43.87036,32.97036,77.81006,10.9,52.80924,0.315,0.39,3.16512,0.0,0.0,0.0,8.0
nyc_manhattan,C_LATE,0.5,DFR,41.96294,32.69044,77.14944,9.2725,51.16134,0.19,0.27,1.5602,0.0,0.0,0.0,7.0
nyc_manhattan,C_LATE,1.0,SAA,43.87036,32.97036,77.81006,10.9,52.80924,0.315,0.39,3.16512,0.0,0.0,0.0,8.0
nyc_manhattan,C_LATE,1.0,DFR,41.96294,32.69044,77.14944,9.2725,51.16134,0.19,0.27,1.5602,0.0,0.0,0.0,7.0
nyc_manhattan,C_LATE,2.0,SAA,43.87036,32.97036,77.81006,10.9,52.80924,0.315,0.39,3.16512,0.0,0.0,0.0,8.0
nyc_manhattan,C_LATE,2.0,DFR,41.96294,32.69044,77.14944,9.2725,51.16134,0.19,0.27,1.5602,0.0,0.0,0.0,7.0
nyc_manhattan,C_RET,0.5,SAA,45.03709,32.35459,76.35684,12.6825,54.34762,0.36,0.54,2.38931,0.0,0.0,0.0,7.0
nyc_manhattan,C_RET,0.5,DFR,40.13681,30.37681,71.68928,9.76,48.9523,0.26,0.395,3.29646,0.0,0.0,0.0,7.0
nyc_manhattan,C_RET,1.0,SAA,43.87036,32.97036,77.81006,10.9,52.80924,0.315,0.39,3.16512,0.0,0.0,0.0,8.0
nyc_manhattan,C_RET,1.0,DFR,41.96294,32.69044,77.14944,9.2725,51.16134,0.19,0.27,1.5602,0.0,0.0,0.0,7.0
nyc_manhattan,C_RET,2.0,SAA,46.4301,35.7701,84.41742,10.66,58.2589,0.24,0.315,1.7024,0.0,0.0,0.0,8.0
nyc_manhattan,C_RET,2.0,DFR,40.95546,30.17046,71.20228,10.785,54.50131,0.235,0.36,3.28803,0.0,0.0,0.0,7.0
nyc_manhattan,C_MISS,0.5,SAA,43.87036,32.97036,77.81006,10.9,52.80924,0.315,0.39,3.16512,0.0,0.0,0.0,8.0
nyc_manhattan,C_MISS,0.5,DFR,41.96294,32.69044,77.14944,9.2725,51.16134,0.19,0.27,1.5602,0.0,0.0,0.0,7.0
nyc_manhattan,C_MISS,1.0,SAA,43.87036,32.97036,77.81006,10.9,52.80924,0.315,0.39,3.16512,0.0,0.0,0.0,8.0
nyc_manhattan,C_MISS,1.0,DFR,41.96294,32.69044,77.14944,9.2725,51.16134,0.19,0.27,1.5602,0.0,0.0,0.0,7.0
nyc_manhattan,C_MISS,2.0,SAA,43.87036,32.97036,77.81006,10.9,52.80924,0.315,0.39,3.16512,0.0,0.0,0.0,8.0
nyc_manhattan,C_MISS,2.0,DFR,41.96294,32.69044,77.14944,9.2725,51.16134,0.19,0.27,1.5602,0.0,0.0,0.0,7.0
peshawar_real,C_LATE,0.5,SAA,103.66924,91.41674,215.74351,12.2525,154.42181,0.175,0.225,1.83921,0.0,0.0,0.06,27.0
peshawar_real,C_LATE,0.5,DFR,103.66924,91.41674,215.74351,12.2525,154.42181,0.175,0.225,1.83921,0.0,0.0,0.06,27.0
peshawar_real,C_LATE,1.0,SAA,103.66924,91.41674,215.74351,12.2525,154.42181,0.175,0.225,1.83921,0.0,0.0,0.06,27.0
peshawar_real,C_LATE,1.0,DFR,103.66924,91.41674,215.74351,12.2525,154.42181,0.175,0.225,1.83921,0.0,0.0,0.06,27.0
peshawar_real,C_LATE,2.0,SAA,103.66924,91.41674,215.74351,12.2525,154.42181,0.175,0.225,1.83921,0.0,0.0,0.06,27.0
peshawar_real,C_LATE,2.0,DFR,103.66924,91.41674,215.74351,12.2525,154.42181,0.175,0.225,1.83921,0.0,0.0,0.06,27.0
peshawar_real,C_RET,0.5,SAA,101.85956,89.92206,212.21606,11.9375,152.97817,0.165,0.225,2.00972,0.0,0.0,0.075,27.0
peshawar_real,C_RET,0.5,DFR,100.76635,90.86885,214.45048,9.8975,135.40513,0.165,0.21,1.79402,0.0,0.0,0.035,27.0
peshawar_real,C_RET,1.0,SAA,103.66924,91.41674,215.74351,12.2525,154.42181,0.175,0.225,1.83921,0.0,0.0,0.06,27.0
peshawar_real,C_RET,1.0,DFR,103.66924,91.41674,215.74351,12.2525,154.42181,0.175,0.225,1.83921,0.0,0.0,0.06,27.0
peshawar_real,C_RET,2.0,SAA,104.22486,92.33986,217.92207,11.885,144.4663,0.185,0.23,1.97951,0.0,0.0,0.04,27.0
peshawar_real,C_RET,2.0,DFR,100.79498,89.84498,212.03416,10.95,138.0856,0.155,0.2,1.68619,0.0,0.0,0.04,27.0
peshawar_real,C_MISS,0.5,SAA,99.46235,89.52985,211.29044,9.9325,130.4788,0.18,0.23,1.96939,0.0,0.0,0.045,27.0
peshawar_real,C_MISS,0.5,DFR,99.46235,89.52985,211.29044,9.9325,130.4788,0.18,0.23,1.96939,0.0,0.0,0.045,27.0
peshawar_real,C_MISS,1.0,SAA,103.66924,91.41674,215.74351,12.2525,154.42181,0.175,0.225,1.83921,0.0,0.0,0.06,27.0
peshawar_real,C_MISS,1.0,DFR,103.66924,91.41674,215.74351,12.2525,154.42181,0.175,0.225,1.83921,0.0,0.0,0.06,27.0
peshawar_real,C_MISS,2.0,SAA,104.11757,90.82757,214.35306,13.29,165.16533,0.185,0.26,2.27378,0.0,0.0,0.045,27.0
peshawar_real,C_MISS,2.0,DFR,104.11757,90.82757,214.35306,13.29,165.16533,0.185,0.26,2.27378,0.0,0.0,0.045,27.0
solomon_c101,C_LATE,0.5,SAA,428.20608,368.64426,870.00044,59.56183,509.87789,0.345,0.515,29.84519,1.0,1799.67302,0.02,16.0
solomon_c101,C_LATE,0.5,DFR,428.20608,368.64426,870.00044,59.56183,509.87789,0.345,0.515,29.84519,1.0,1799.67302,0.02,16.0
solomon_c101,C_LATE,1.0,SAA,478.02374,412.63819,973.82612,65.38555,553.13648,0.3,0.405,23.34174,1.0,1004.81097,0.0,18.0
