family,rep,method,kind,mag,E_cost,E_fuel,E_emission,E_recourse,CVaR_cost,P_trigger,E_returns,E_return_km,P_late,E_late_min,P_defer,n_veh
nyc_manhattan,1,DET,demand_mean,0.1,52.95837,39.25837,92.64976,13.7,67.00925,0.88,2.48,15.36982,0.0,0.0,0.0,6.0
nyc_manhattan,1,DET,demand_mean,0.2,57.76117,42.15117,99.47675,15.61,71.9494,0.955,3.435,24.06521,0.0,0.0,0.0,6.0
nyc_manhattan,1,DET,demand_mean,0.3,62.1001,44.9501,106.08223,17.15,75.42266,0.99,4.205,32.68422,0.0,0.0,0.0,6.0
nyc_manhattan,1,DET,demand_var,0.25,48.28955,36.64955,86.49293,11.64,62.25062,0.67,1.45,8.80809,0.0,0.0,0.0,6.0
nyc_manhattan,1,DET,demand_var,0.5,48.51319,36.77319,86.78473,11.74,62.76997,0.68,1.5,9.49197,0.0,0.0,0.0,6.0
nyc_manhattan,1,DET,congestion,0.1,48.02145,36.48145,86.09621,11.54,61.23921,0.665,1.4,7.93303,0.0,0.0,0.0,6.0
nyc_manhattan,1,DET,congestion,0.2,48.02145,36.48145,86.09621,11.54,61.23921,0.665,1.4,7.93303,0.0,0.0,0.0,6.0
nyc_manhattan,1,DET,feas_drop,0.2,48.02145,36.48145,86.09621,11.54,61.23921,0.665,1.4,7.93303,0.0,0.0,0.0,6.0
nyc_manhattan,1,SAA,demand_mean,0.1,46.74768,34.78768,82.09892,11.96,57.49316,0.565,0.92,7.16672,0.0,0.0,0.0,8.0
nyc_manhattan,1,SAA,demand_mean,0.2,50.0661,36.7261,86.67359,13.34,61.96247,0.77,1.61,11.95512,0.0,0.0,0.0,8.0
nyc_manhattan,1,SAA,demand_mean,0.3,53.92894,38.86894,91.7307,15.06,66.94895,0.91,2.47,17.82579,0.0,0.0,0.0,8.0
nyc_manhattan,1,SAA,demand_var,0.25,44.02072,33.03072,77.95249,10.99,53.05382,0.33,0.435,3.51309,0.0,0.0,0.0,8.0
nyc_manhattan,1,SAA,demand_var,0.5,44.34823,33.16823,78.27701,11.18,54.52607,0.355,0.53,4.19125,0.0,0.0,0.0,8.0
nyc_manhattan,1,SAA,congestion,0.1,43.87036,32.97036,77.81006,10.9,52.80924,0.315,0.39,3.16512,0.0,0.0,0.0,8.0
nyc_manhattan,1,SAA,congestion,0.2,43.87036,32.97036,77.81006,10.9,52.80924,0.315,0.39,3.16512,0.0,0.0,0.0,8.0
nyc_manhattan,1,SAA,feas_drop,0.2,43.87036,32.97036,77.81006,10.9,52.80924,0.315,0.39,3.16512,0.0,0.0,0.0,8.0
nyc_manhattan,1,Q90C,demand_mean,0.1,42.32483,32.89233,77.6259,9.4325,50.72961,0.055,0.06,0.33029,0.0,0.0,0.0,9.0
nyc_manhattan,1,Q90C,demand_mean,0.2,43.78711,34.02461,80.29807,9.7625,53.41601,0.165,0.225,1.3467,0.0,0.0,0.0,9.0
nyc_manhattan,1,Q90C,demand_mean,0.3,45.73215,35.33965,83.40157,10.3925,58.1946,0.315,0.54,3.22877,0.0,0.0,0.0,9.0
nyc_manhattan,1,Q90C,demand_var,0.25,41.36908,31.96658,75.44113,9.4025,49.71233,0.04,0.045,0.30193,0.0,0.0,0.0,9.0
nyc_manhattan,1,Q90C,demand_var,0.5,41.38215,31.96965,75.44837,9.4125,49.79742,0.045,0.05,0.32171,0.0,0.0,0.0,9.0
nyc_manhattan,1,Q90C,congestion,0.1,41.35376,31.96126,75.42857,9.3925,49.58161,0.035,0.04,0.265,0.0,0.0,0.0,9.0
nyc_manhattan,1,Q90C,congestion,0.2,41.35376,31.96126,75.42857,9.3925,49.58161,0.035,0.04,0.265,0.0,0.0,0.0,9.0
nyc_manhattan,1,Q90C,feas_drop,0.2,41.35376,31.96126,75.42857,9.3925,49.58161,0.035,0.04,0.265,0.0,0.0,0.0,9.0
nyc_manhattan,1,RO,demand_mean,0.1,47.15139,37.28889,88.00177,9.8625,54.83505,0.005,0.01,0.03939,0.0,0.0,0.0,13.0
